PROVIDER_BUSINESS_GROUP_NBR,PRODUCT_CD,SERVICE_GROUP_CD,SERVICE_TYPE_CD,PLACE_OF_SERVICE_CD,SCORE
758527299,MEPO,DEFAULTSVC1,HCPC,12,1
293150388,MC,DEFAULTOUT,HCPC,12,1
410903226,MC,DEFAULTOUT2,HCPC,12,1
715948407,MPPO,DEFAULTSVC1,HCPC,12,1
817410756,MEPO,DEFAULTOUT2,HCPC,12,1
320229255,MC,DEFAULTSVC1,HCPC,12,1
382687299,MPPO,DEFAULTSVC1,CPT4,12,1
701980068,MPPO,DEFAULTSVC1,HCPC,12,1
885348616,MHMO,DEFAULTOUT,HCPC,12,1
36129515,MC,DEFAULTSVC1,HCPC,12,1
2312408,MHMO,DEFAULTOUT,HCPC,12,1
415116770,MC,DEFAULTSVC1,HCPC,12,1
388938018,MC,RADHCPC,CPT4,21,1
426420004,MPPO,DEFAULTSUR,CPT4,21,300
859320359,MPPO,DEFAULTSUR,CPT4,21,300
661742176,MPPO,10021,CPT4,21,1
400015533,SLFIN,10021,CPT4,21,1
840684954,MEHMO,10021,CPT4,21,1
909664055,NNHMO,10021,CPT4,21,1
153519891,ALL,10060,CPT4,21,1
121778129,DHMO,10021,CPT4,21,1
408259309,ALL,DEFAULTALL,CPT4,21,1
499831736,ALL,DEFAULTALL,CPT4,21,1
308822331,ALL,DEFAULTALL,CPT4,21,1
962498471,MPPO,DEFAULTSVC1,CPT4,21,1
84471139,MPPO,DEFAULTALL,REV,21,1
882041437,MPPO,DEFAULTALL,DRG,21,1
839326027,MPPO,DEFAULTSVC1,CPT4,21,1
559650545,MPPO,DEFAULTSVC1,CPT4,21,1
254479626,MC,DEFAULTSVC1,ASA,21,1
832829791,MC,DEFAULTSVC1,CPT4,21,1
41791235,MPPO,DEFAULTALL,CPT4,21,1
879012932,MC,DEFAULTSVC1,DRG,21,1
705118523,MPPO,DEFAULTSVC1,CPT4,21,1
209868202,MPPO,DEFAULTSVC1,CPT4,21,1
866721959,MC,DEFAULTSVC1,CPT4,21,1
411817403,MPPO,AMBSURA1,CPT4,11,300
995888599,MEPPO,10021,CPT4,11,1
58510460,MEPOS,10021,CPT4,11,1
317280946,TC,636,HCPC,11,1
100895804,MBH,J0120,HCPC,11,1
750680207,HMOAVN,80048,CPT4,11,1
