PROVIDER_BUSINESS_GROUP_NBR,PRODUCT_CD,SERVICE_GROUP_CD,SERVICE_TYPE_CD,PLACE_OF_SERVICE_CD,SCORE,mul_pay_method,f0_
632375875,MHMO,,CPT4,11,1,"[PERUNT,FLAT]",14
502759563,MC,,CPT4,22,1,"[PERUNT,PERBIL,FLAT]",10
287049030,MC,,CPT4,22,1,"[PERBIL,FLAT]",21
740382922,MHMO,,CPT4,21,1,"[PERUNT,FLAT]",32
491718827,MEPO,,CPT4,11,1,"[PERBIL,PERUNT]",22
899755169,MPPO,,CPT4,11,1,"[PERUNT,FLAT]",22
370496290,MEPO,,CPT4,11,1,"[FLAT,PERUNT]",36
545277884,MHMO,,CPT4,11,1,"[PERUNT,FLAT]",22
375285070,MEPO,,CPT4,11,1,"[PERUNT,FLAT]",27
16920801,MEPO,,HCPC,22,1,"[PERUNT,PERBIL]",15
668285546,MHMO,,HCPC,12,1,"[FLAT,PERUNT]",14
6919708,MHMO,,HCPC,12,1,"[PERUNT,FLAT]",10
370599154,MC,,HCPC,12,1,"[PERUNT,FLAT]",12
816306596,MPPO,,HCPC,12,1,"[FLAT,PERUNT]",10
66406570,MHMO,,HCPC,12,1,"[FLAT,PERUNT]",10
212950222,MEPO,,HCPC,12,1,"[PERUNT,FLAT]",10
5615457,MHMO,,HCPC,41,1,"[FLAT,PERUNT]",8
812106142,MHMO,,REV,21,1,"[PERBLX,PERBIL,FLAT]",25
240395260,MPPO,,REV,21,1,"[FLAT,PERBIL]",7
447418050,MC,,REV,21,1,"[PERBIL,PERUNT]",9
