PROVIDER_BUSINESS_GROUP_NBR,PRODUCT_CD,SERVICE_CD,SERVICE_TYPE_CD,PLACE_OF_SERVICE_CD,SCORE,mul_pay_method,nbr_of_rows,max_rate
680008707,MHMO,70010,CPT4,22,1,"[PERRT,PERBIL]",3,286.99928
461370498,ALL,31230,CPT4,21,1,"[PERAMF,PERRT]",2,5836.48
230597564,ALL,44205,CPT4,21,1,"[PERRT,PERAMF]",2,1649.74
383244101,ALL,34704,CPT4,21,1,"[PERRT,PERAMF]",2,3090.57
496542167,ALL,A4338,HCPC,12,1,"[PERRT,PERAMF]",2,14.74
306969438,ALL,27756,CPT4,22,1,"[PERRT,PERAMF]",2,703.93
90724012,ALL,J0500,HCPC,22,1,"[PERRT,PERAMF]",2,57.03
477199096,MEPO,57135,CPT4,22,1,"[PERBIL,PERBLX]",2,80.0
48483489,ALL,J3105,HCPC,22,1,"[PERRT,PERAMF]",2,2.81
198891638,MHMO,J9321,HCPC,22,1,"[PERBIL,PERRT]",2,65.0
530145607,ALL,27848,CPT4,22,1,"[PERAMF,PERRT]",2,1010.07
156235205,ALL,41872,CPT4,22,1,"[PERRT,PERAMF]",2,298.13
360647773,ALL,00160,ASA,24,1,"[PERRT,PERAMF]",2,40.0
398979041,ALL,23031,CPT4,21,1,"[PERRT,PERAMF]",2,245.93800000000005
106071264,MC,27275,CPT4,22,1,"[PERBIL,PERBLX]",2,70.0
587517184,ALL,94645,CPT4,22,1,"[PERAMF,PERRT]",2,13.97
102194963,MPPO,78231,CPT4,22,1,"[PERRT,PERBIL]",3,442.0339
178068284,ALL,21206,CPT4,22,1,"[PERAMF,PERRT]",2,1163.59
420802731,MC,19000,CPT4,22,1,"[PERBIL,PERRT]",2,70.0
386343613,MHMO,J7336,HCPC,11,1,"[PERRT,PERBIL]",2,70.0
